id;name;device_type;serial_number;status;installation_date;created_at;updated_at
1;angry enfeeble;INVERTER;urgently blah;ACTIVE;2025-07-20T03:51:49;2025-07-20T14:17:37;2025-07-19T23:21:18
2;assertion;METER;aha;ERROR;2025-07-19T23:25:32;2025-07-19T15:40:57;2025-07-20T12:13:09
3;runny;INVERTER;qualified;MAINTENANCE;2025-07-20T04:50:29;2025-07-20T04:34:59;2025-07-20T13:54:27
4;less;BATTERY;um;ERROR;2025-07-19T20:10:01;2025-07-20T01:25:44;2025-07-19T19:02:56
5;surf serpentine anchovy;METER;uh-huh;MAINTENANCE;2025-07-19T15:48:36;2025-07-19T20:01:43;2025-07-19T18:05:10
6;ouch meh inasmuch;INVERTER;gadget pfft microphone;INACTIVE;2025-07-19T23:21:02;2025-07-20T12:06:06;2025-07-19T18:39:01
7;likewise while likewise;INVERTER;immure following finally;ERROR;2025-07-20T08:55:03;2025-07-20T11:38:12;2025-07-20T11:03:39
8;gah;SOLAR_PANEL;bah boo;ACTIVE;2025-07-19T15:21:02;2025-07-20T10:17:59;2025-07-19T22:19:34
9;or although uniformity;METER;unethically probable;INACTIVE;2025-07-19T20:30:16;2025-07-20T10:23:36;2025-07-20T13:42:41
10;catnap but;INVERTER;worried though politely;ACTIVE;2025-07-20T12:42:56;2025-07-20T03:24:49;2025-07-19T15:59:39
