id;name;location;capacity;status;created_at;updated_at
1;hoarse psst;woefully;8570.28;OFFLINE;2025-07-20T12:46:23;2025-07-20T05:07:20
2;bountiful privacy transit;midst;17254.22;OFFLINE;2025-07-20T07:38:42;2025-07-20T08:48:20
3;poorly;save slope beneath;5936.2;OFFLINE;2025-07-19T20:53:51;2025-07-19T15:20:30
4;ah via;since;14764.44;MAINTENANCE;2025-07-19T17:28:22;2025-07-19T20:06:20
5;near guava pattypan;modulo finally;29299.8;ONLINE;2025-07-20T12:41:33;2025-07-20T03:47:04
6;disturb unless;ah institute coast;32506.04;OFFLINE;2025-07-19T19:55:35;2025-07-19T20:24:37
7;boldly;fooey oh;24518.11;ONLINE;2025-07-19T21:28:52;2025-07-20T08:38:06
8;psst like;accoutre;4086.81;OFFLINE;2025-07-20T06:59:48;2025-07-20T07:37:53
9;an fruit duh;loudly;23756.37;OFFLINE;2025-07-20T06:59:24;2025-07-20T02:55:32
10;cite mysteriously hydroplane;invert;30120.03;ONLINE;2025-07-19T18:50:24;2025-07-20T01:44:14
